country_of_origin,Continent,Category,Rating
Colombia,Americas,aroma,7.67
Costa Rica,Americas,aroma,7.75
Colombia,Americas,aroma,7.42
Brazil,Americas,aroma,8
Brazil,Americas,aroma,8.5
Costa Rica,Americas,aroma,7.92
Uganda,Africa,aroma,7.92
China,Asia,aroma,7.75
Costa Rica,Americas,aroma,7.92
Colombia,Americas,aroma,8.08
China,Asia,aroma,7.67
Guatemala,Americas,aroma,8.17
Kenya,Africa,aroma,7.92
Mexico,North America,aroma,8
Mexico,North America,aroma,7.92
Guatemala,Americas,aroma,7.67
Brazil,Americas,aroma,7.81
Brazil,Americas,aroma,8.17
Costa Rica,Americas,aroma,7.58
Indonesia,Asia,aroma,7.67
Colombia,Americas,aroma,7.92
Colombia,Americas,aroma,7.92
Taiwan,Asia,aroma,7.83
United States (Hawaii),North America,aroma,7.92
Mexico,North America,aroma,7.75
Ethiopia,Africa,aroma,7.5
Kenya,Africa,aroma,7.33
Honduras,Americas,aroma,7.92
Colombia,Americas,aroma,7.58
Honduras,Americas,aroma,7.58
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.75
Mexico,North America,aroma,8
Brazil,Americas,aroma,8.17
Brazil,Americas,aroma,8
Ethiopia,Africa,aroma,7.75
Guatemala,Americas,aroma,7.5
Taiwan,Asia,aroma,7.92
Thailand,Asia,aroma,7.83
Colombia,Americas,aroma,7.83
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,7.75
China,Asia,aroma,7.83
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.42
"Tanzania, United Republic Of",Africa,aroma,7.83
"Tanzania, United Republic Of",Africa,aroma,7.83
Guatemala,Americas,aroma,7.83
Colombia,Americas,aroma,7.58
United States (Hawaii),North America,aroma,7.33
Mexico,North America,aroma,7.83
Mexico,North America,aroma,7.83
Mexico,North America,aroma,7.83
Uganda,Africa,aroma,8.17
Guatemala,Americas,aroma,7.75
Colombia,Americas,aroma,7.83
Costa Rica,Americas,aroma,7.92
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,7.58
Colombia,Americas,aroma,8
Nicaragua,Americas,aroma,7.67
Brazil,Americas,aroma,7.67
Costa Rica,Americas,aroma,7.67
Ethiopia,Africa,aroma,7.5
"Tanzania, United Republic Of",Africa,aroma,7.92
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.67
Kenya,Africa,aroma,7.58
Brazil,Americas,aroma,7.58
Guatemala,Americas,aroma,7.92
El Salvador,Americas,aroma,8.42
Colombia,Americas,aroma,7.75
Guatemala,Americas,aroma,7.83
Uganda,Africa,aroma,7.83
Indonesia,Asia,aroma,7.81
Colombia,Americas,aroma,7.83
Taiwan,Asia,aroma,7.58
Guatemala,Americas,aroma,8
Colombia,Americas,aroma,7.92
Guatemala,Americas,aroma,7.58
United States (Hawaii),North America,aroma,7.83
Mexico,North America,aroma,7.67
Ethiopia,Africa,aroma,7.92
Costa Rica,Americas,aroma,7.58
Ethiopia,Africa,aroma,7.83
Honduras,Americas,aroma,7.42
Guatemala,Americas,aroma,7.67
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.92
Guatemala,Americas,aroma,7.75
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.58
Colombia,Americas,aroma,7.67
Ethiopia,Africa,aroma,7.75
Brazil,Americas,aroma,7.58
Colombia,Americas,aroma,7.67
Kenya,Africa,aroma,7.67
Thailand,Asia,aroma,7.92
Kenya,Africa,aroma,7.67
Uganda,Africa,aroma,7.92
Thailand,Asia,aroma,7.58
Brazil,Americas,aroma,7.5
Mexico,North America,aroma,7.83
Thailand,Asia,aroma,7.67
Brazil,Americas,aroma,7.58
Taiwan,Asia,aroma,7.83
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.75
Taiwan,Asia,aroma,7.75
Colombia,Americas,aroma,7.92
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.75
Taiwan,Asia,aroma,8
Colombia,Americas,aroma,7.67
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.75
Colombia,Americas,aroma,7.92
Colombia,Americas,aroma,7.83
Costa Rica,Americas,aroma,7.67
Guatemala,Americas,aroma,7.75
Taiwan,Asia,aroma,7.75
Brazil,Americas,aroma,7.25
Taiwan,Asia,aroma,7.67
Ethiopia,Africa,aroma,7.75
Brazil,Americas,aroma,7.67
Costa Rica,Americas,aroma,7.83
Guatemala,Americas,aroma,7.58
Brazil,Americas,aroma,7.92
Ecuador,Americas,aroma,7.5
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.5
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.67
Brazil,Americas,aroma,7.83
Thailand,Asia,aroma,7.75
Thailand,Asia,aroma,7.5
Ethiopia,Africa,aroma,7.58
Kenya,Africa,aroma,7.75
Brazil,Americas,aroma,7.67
Colombia,Americas,aroma,7.83
Taiwan,Asia,aroma,7.67
Colombia,Americas,aroma,7.92
China,Asia,aroma,7.83
Colombia,Americas,aroma,7.75
Uganda,Africa,aroma,8
United States (Puerto Rico),North America,aroma,7.83
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.58
Colombia,Americas,aroma,7.75
United States (Hawaii),North America,aroma,7.25
Mexico,North America,aroma,7.83
Guatemala,Americas,aroma,7.67
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.75
United States (Hawaii),North America,aroma,7.83
Brazil,Americas,aroma,7.67
Kenya,Africa,aroma,8.08
Honduras,Americas,aroma,7.5
Nicaragua,Americas,aroma,7.67
Brazil,Americas,aroma,7.58
Taiwan,Asia,aroma,7.5
Costa Rica,Americas,aroma,7.33
Thailand,Asia,aroma,7.5
Colombia,Americas,aroma,7.5
Guatemala,Americas,aroma,8
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.67
Guatemala,Americas,aroma,7.83
Colombia,Americas,aroma,7.75
Guatemala,Americas,aroma,8.17
Guatemala,Americas,aroma,7.67
Mexico,North America,aroma,7.67
Indonesia,Asia,aroma,8.17
Guatemala,Americas,aroma,7.67
United States (Hawaii),North America,aroma,7.75
Brazil,Americas,aroma,7.58
Guatemala,Americas,aroma,7.75
Colombia,Americas,aroma,7.75
China,Asia,aroma,7.67
Colombia,Americas,aroma,7.67
Mexico,North America,aroma,7.75
Ethiopia,Africa,aroma,7.75
Uganda,Africa,aroma,7.67
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.75
Taiwan,Asia,aroma,7.75
Colombia,Americas,aroma,7.67
Mexico,North America,aroma,7.83
Colombia,Americas,aroma,7.67
Brazil,Americas,aroma,7.83
Colombia,Americas,aroma,7.75
Taiwan,Asia,aroma,7.58
Costa Rica,Americas,aroma,7.92
Colombia,Americas,aroma,7.75
Guatemala,Americas,aroma,7.67
Colombia,Americas,aroma,7.58
"Tanzania, United Republic Of",Africa,aroma,7.75
Indonesia,Asia,aroma,7.25
Ethiopia,Africa,aroma,7.67
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,8
Guatemala,Americas,aroma,7.58
Colombia,Americas,aroma,7.75
Honduras,Americas,aroma,7.67
Colombia,Americas,aroma,7.58
Colombia,Americas,aroma,7.58
Mexico,North America,aroma,7.83
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.75
Guatemala,Americas,aroma,7.83
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.5
United States (Hawaii),North America,aroma,7.5
Indonesia,Asia,aroma,7.83
Colombia,Americas,aroma,7.5
Guatemala,Americas,aroma,7.67
Colombia,Americas,aroma,7.67
Costa Rica,Americas,aroma,7.58
Taiwan,Asia,aroma,7.67
Uganda,Africa,aroma,7.58
Thailand,Asia,aroma,7.5
El Salvador,Americas,aroma,7.58
Colombia,Americas,aroma,7.58
Brazil,Americas,aroma,7.33
"Tanzania, United Republic Of",Africa,aroma,7.75
Colombia,Americas,aroma,7.58
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,7.67
Guatemala,Americas,aroma,7.67
United States (Hawaii),North America,aroma,7.42
Colombia,Americas,aroma,7.5
Colombia,Americas,aroma,7.58
United States (Hawaii),North America,aroma,7.5
Thailand,Asia,aroma,7.58
Mexico,North America,aroma,7.25
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.83
Brazil,Americas,aroma,7.5
Mexico,North America,aroma,7.75
Colombia,Americas,aroma,7.67
"Tanzania, United Republic Of",Africa,aroma,7.75
Mexico,North America,aroma,7.67
Costa Rica,Americas,aroma,7.67
United States (Hawaii),North America,aroma,7.83
Costa Rica,Americas,aroma,7.5
Peru,Americas,aroma,7.83
Haiti,Americas,aroma,7.58
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.83
United States (Hawaii),North America,aroma,7.92
Burundi,Africa,aroma,7.75
Colombia,Americas,aroma,7.5
United States (Hawaii),North America,aroma,8.08
United States (Hawaii),North America,aroma,7.58
Mexico,North America,aroma,7.67
Costa Rica,Americas,aroma,7.5
Costa Rica,Americas,aroma,7.83
Guatemala,Americas,aroma,7.5
Uganda,Africa,aroma,7.5
Brazil,Americas,aroma,7.58
Colombia,Americas,aroma,7.58
Mexico,North America,aroma,7.83
Taiwan,Asia,aroma,7.67
Taiwan,Asia,aroma,7.92
Colombia,Americas,aroma,7.58
Guatemala,Americas,aroma,7.5
Colombia,Americas,aroma,7.83
Mexico,North America,aroma,7.58
United States (Hawaii),North America,aroma,7.58
Mexico,North America,aroma,7.75
Mexico,North America,aroma,7.75
Guatemala,Americas,aroma,7.83
Brazil,Americas,aroma,7.75
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.92
Colombia,Americas,aroma,8
Colombia,Americas,aroma,7.92
Brazil,Americas,aroma,7.67
Guatemala,Americas,aroma,7.58
"Tanzania, United Republic Of",Africa,aroma,7.67
Peru,Americas,aroma,7.92
Vietnam,Asia,aroma,7.58
Guatemala,Americas,aroma,7.67
Honduras,Americas,aroma,7.67
China,Asia,aroma,7.5
China,Asia,aroma,7.67
El Salvador,Americas,aroma,7.5
Guatemala,Americas,aroma,7.5
Guatemala,Americas,aroma,7.92
Kenya,Africa,aroma,7.83
Thailand,Asia,aroma,7.67
"Tanzania, United Republic Of",Africa,aroma,7.58
Colombia,Americas,aroma,7.58
Uganda,Africa,aroma,8
Colombia,Americas,aroma,7.58
Honduras,Americas,aroma,7.5
Honduras,Americas,aroma,7.67
Guatemala,Americas,aroma,7.33
United States (Hawaii),North America,aroma,7.5
"Tanzania, United Republic Of",Africa,aroma,7.58
Guatemala,Americas,aroma,7.67
Mexico,North America,aroma,7.75
Mexico,North America,aroma,7.75
Mexico,North America,aroma,7.58
Colombia,Americas,aroma,7.67
Mexico,North America,aroma,7.75
Colombia,Americas,aroma,7.58
Mexico,North America,aroma,7.5
Brazil,Americas,aroma,7.75
Brazil,Americas,aroma,7.92
Guatemala,Americas,aroma,7.75
Brazil,Americas,aroma,7.75
Brazil,Americas,aroma,7.58
El Salvador,Americas,aroma,7.42
Ethiopia,Africa,aroma,7.75
Colombia,Americas,aroma,7.58
Colombia,Americas,aroma,7.75
Brazil,Americas,aroma,7.58
Brazil,Americas,aroma,7.33
Taiwan,Asia,aroma,7.83
Brazil,Americas,aroma,7.42
Brazil,Americas,aroma,7.58
Costa Rica,Americas,aroma,7.83
United States (Hawaii),North America,aroma,7.33
Taiwan,Asia,aroma,7.75
United States (Hawaii),North America,aroma,7.83
Mexico,North America,aroma,7.75
United States (Hawaii),North America,aroma,7.67
United States (Hawaii),North America,aroma,7.33
Colombia,Americas,aroma,7.33
Colombia,Americas,aroma,7.83
Indonesia,Asia,aroma,7.67
Guatemala,Americas,aroma,7.92
Brazil,Americas,aroma,7.58
Brazil,Americas,aroma,7.5
Brazil,Americas,aroma,7.5
Uganda,Africa,aroma,7.67
Uganda,Africa,aroma,7.67
Colombia,Americas,aroma,7.67
Vietnam,Asia,aroma,7.75
Guatemala,Americas,aroma,7.67
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,7.83
Brazil,Americas,aroma,7.67
Taiwan,Asia,aroma,7.92
Uganda,Africa,aroma,7.83
United States (Puerto Rico),North America,aroma,7.67
Guatemala,Americas,aroma,7.67
Costa Rica,Americas,aroma,7.67
Brazil,Americas,aroma,7.75
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.33
Colombia,Americas,aroma,7.58
Colombia,Americas,aroma,7.5
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.5
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.67
Guatemala,Americas,aroma,7.5
Colombia,Americas,aroma,7.67
Thailand,Asia,aroma,7.33
Colombia,Americas,aroma,7.33
United States (Hawaii),North America,aroma,7.83
United States (Hawaii),North America,aroma,7.5
Colombia,Americas,aroma,7.5
Nicaragua,Americas,aroma,7.58
Thailand,Asia,aroma,7.5
Brazil,Americas,aroma,7.67
El Salvador,Americas,aroma,7.5
Colombia,Americas,aroma,7.58
Taiwan,Asia,aroma,7.17
Ethiopia,Africa,aroma,7.58
Taiwan,Asia,aroma,7.5
Philippines,Asia,aroma,7.58
Philippines,Asia,aroma,8.08
Mexico,North America,aroma,7.83
Mexico,North America,aroma,7.75
Brazil,Americas,aroma,7.08
Uganda,Africa,aroma,8
Uganda,Africa,aroma,7.75
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,7.67
Guatemala,Americas,aroma,7.58
Colombia,Americas,aroma,7.58
Colombia,Americas,aroma,7.75
Guatemala,Americas,aroma,7.83
Colombia,Americas,aroma,7.83
Mexico,North America,aroma,7.58
Vietnam,Asia,aroma,7.67
Mexico,North America,aroma,8
United States (Hawaii),North America,aroma,7.5
Colombia,Americas,aroma,7.5
Thailand,Asia,aroma,7.42
Kenya,Africa,aroma,7.75
Guatemala,Americas,aroma,7.5
Brazil,Americas,aroma,7.67
El Salvador,Americas,aroma,7.33
Rwanda,Africa,aroma,7.83
Vietnam,Asia,aroma,7.25
Guatemala,Americas,aroma,7.58
Brazil,Americas,aroma,7.58
Colombia,Americas,aroma,7.83
United States,North America,aroma,7.42
Guatemala,Americas,aroma,7.67
Colombia,Americas,aroma,7.5
Colombia,Americas,aroma,7.83
"Tanzania, United Republic Of",Africa,aroma,7.67
Mexico,North America,aroma,7.58
Mexico,North America,aroma,7.67
Guatemala,Americas,aroma,7.67
Mexico,North America,aroma,7.58
El Salvador,Americas,aroma,7.75
Guatemala,Americas,aroma,7.5
Guatemala,Americas,aroma,7.58
Guatemala,Americas,aroma,7.5
Guatemala,Americas,aroma,7.5
Guatemala,Americas,aroma,7.42
Indonesia,Asia,aroma,7.5
Guatemala,Americas,aroma,7.58
Taiwan,Asia,aroma,7.83
El Salvador,Americas,aroma,7.67
Costa Rica,Americas,aroma,7.58
Honduras,Americas,aroma,7.58
Brazil,Americas,aroma,7.5
China,Asia,aroma,7.67
China,Asia,aroma,7.5
Colombia,Americas,aroma,7.5
Malawi,Africa,aroma,7.75
Guatemala,Americas,aroma,7.75
Colombia,Americas,aroma,7.67
United States (Hawaii),North America,aroma,7.67
United States (Hawaii),North America,aroma,7.58
Colombia,Americas,aroma,7.58
Mexico,North America,aroma,7.58
Mexico,North America,aroma,7.58
Mexico,North America,aroma,8.08
Colombia,Americas,aroma,7.5
Colombia,Americas,aroma,7.67
United States (Hawaii),North America,aroma,7.25
Panama,Americas,aroma,7.42
United States (Hawaii),North America,aroma,7.75
Brazil,Americas,aroma,7.5
Brazil,Americas,aroma,7.5
Laos,Asia,aroma,7.67
El Salvador,Americas,aroma,7.67
Mexico,North America,aroma,7.5
Colombia,Americas,aroma,7.75
Brazil,Americas,aroma,7.58
Brazil,Americas,aroma,7.33
"Tanzania, United Republic Of",Africa,aroma,7.5
"Tanzania, United Republic Of",Africa,aroma,7.58
Taiwan,Asia,aroma,8
Mexico,North America,aroma,7.67
Uganda,Africa,aroma,7.67
Taiwan,Asia,aroma,7.67
Thailand,Asia,aroma,7.42
Colombia,Americas,aroma,7.75
El Salvador,Americas,aroma,7.92
Guatemala,Americas,aroma,7.67
Thailand,Asia,aroma,7.83
Mexico,North America,aroma,7.58
Mexico,North America,aroma,7.5
Colombia,Americas,aroma,7.33
United States (Hawaii),North America,aroma,7.83
Mexico,North America,aroma,7.75
Colombia,Americas,aroma,8.08
Colombia,Americas,aroma,7.5
Guatemala,Americas,aroma,7.5
Taiwan,Asia,aroma,7.67
Brazil,Americas,aroma,7.5
Taiwan,Asia,aroma,7.25
Brazil,Americas,aroma,7.42
Indonesia,Asia,aroma,7.83
Thailand,Asia,aroma,7.75
Thailand,Asia,aroma,7.42
"Tanzania, United Republic Of",Africa,aroma,7.75
Uganda,Africa,aroma,7.83
Costa Rica,Americas,aroma,7.67
Mexico,North America,aroma,7.58
Guatemala,Americas,aroma,7.5
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.75
Colombia,Americas,aroma,7.58
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.67
Colombia,Americas,aroma,7.33
Brazil,Americas,aroma,7.58
Brazil,Americas,aroma,7.5
Indonesia,Asia,aroma,7.83
Honduras,Americas,aroma,7.58
Guatemala,Americas,aroma,7.5
Thailand,Asia,aroma,7.5
Thailand,Asia,aroma,7.33
"Tanzania, United Republic Of",Africa,aroma,7.67
"Tanzania, United Republic Of",Africa,aroma,7.75
Mexico,North America,aroma,7.42
Brazil,Americas,aroma,7.42
Guatemala,Americas,aroma,7.83
Colombia,Americas,aroma,7.5
Guatemala,Americas,aroma,7.83
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.92
Guatemala,Americas,aroma,7.67
Brazil,Americas,aroma,7.67
Colombia,Americas,aroma,7.67
United States (Hawaii),North America,aroma,7.33
Guatemala,Americas,aroma,7.75
Honduras,Americas,aroma,7.42
Guatemala,Americas,aroma,7.58
Guatemala,Americas,aroma,7.67
Guatemala,Americas,aroma,7.58
Guatemala,Americas,aroma,7.5
Colombia,Americas,aroma,5.08
China,Asia,aroma,7.67
Brazil,Americas,aroma,7.42
"Tanzania, United Republic Of",Africa,aroma,7.67
Brazil,Americas,aroma,7.17
Guatemala,Americas,aroma,7.5
Mexico,North America,aroma,7.42
Brazil,Americas,aroma,7.58
Peru,Americas,aroma,7.58
Brazil,Americas,aroma,7.25
Mexico,North America,aroma,7.5
Honduras,Americas,aroma,7.25
Colombia,Americas,aroma,7.67
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.42
Mexico,North America,aroma,7.42
Mexico,North America,aroma,7.75
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.58
Mexico,North America,aroma,7.58
Mexico,North America,aroma,7.67
Mexico,North America,aroma,7.83
Colombia,Americas,aroma,7.67
Brazil,Americas,aroma,7.75
Colombia,Americas,aroma,7.33
Colombia,Americas,aroma,7.58
Honduras,Americas,aroma,7.5
Brazil,Americas,aroma,7.33
Brazil,Americas,aroma,7.42
Brazil,Americas,aroma,7.5
Costa Rica,Americas,aroma,7.75
Costa Rica,Americas,aroma,7.75
China,Asia,aroma,7.5
Brazil,Americas,aroma,8.25
Brazil,Americas,aroma,7.42
Guatemala,Americas,aroma,7.5
Malawi,Africa,aroma,7.33
Brazil,Americas,aroma,7.75
Guatemala,Americas,aroma,7.58
Mexico,North America,aroma,7.33
Colombia,Americas,aroma,7.42
Taiwan,Asia,aroma,7.5
Taiwan,Asia,aroma,7.5
Guatemala,Americas,aroma,7.5
Colombia,Americas,aroma,7.5
Mexico,North America,aroma,7.67
Costa Rica,Americas,aroma,7.92
Guatemala,Americas,aroma,7.67
Mexico,North America,aroma,7.58
Mexico,North America,aroma,7.67
Guatemala,Americas,aroma,7.5
Brazil,Americas,aroma,7.58
Mexico,North America,aroma,8
Brazil,Americas,aroma,7.58
Colombia,Americas,aroma,7.83
Brazil,Americas,aroma,7.58
Taiwan,Asia,aroma,7
Guatemala,Americas,aroma,7.67
Brazil,Americas,aroma,7.42
El Salvador,Americas,aroma,7.58
Honduras,Americas,aroma,7.58
Malawi,Africa,aroma,7.58
Brazil,Americas,aroma,7.75
Taiwan,Asia,aroma,7.5
Mexico,North America,aroma,7.58
United States (Hawaii),North America,aroma,7.33
Mexico,North America,aroma,7.58
Guatemala,Americas,aroma,7.5
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.67
El Salvador,Americas,aroma,7.75
Mexico,North America,aroma,7.33
Mexico,North America,aroma,7.42
Colombia,Americas,aroma,7.5
Colombia,Americas,aroma,7.67
Brazil,Americas,aroma,7.67
Colombia,Americas,aroma,7.17
Brazil,Americas,aroma,7.42
Honduras,Americas,aroma,7.5
Nicaragua,Americas,aroma,7.5
"Tanzania, United Republic Of",Africa,aroma,7.58
"Tanzania, United Republic Of",Africa,aroma,7.42
Brazil,Americas,aroma,6.92
Thailand,Asia,aroma,7.42
Honduras,Americas,aroma,7.67
Guatemala,Americas,aroma,7.42
Brazil,Americas,aroma,7.58
"Tanzania, United Republic Of",Africa,aroma,7.75
Mexico,North America,aroma,7.42
Mexico,North America,aroma,7.5
Taiwan,Asia,aroma,7.5
Taiwan,Asia,aroma,7.67
Colombia,Americas,aroma,7.33
Mexico,North America,aroma,7.5
Guatemala,Americas,aroma,7.25
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7
Colombia,Americas,aroma,7.58
Indonesia,Asia,aroma,7.5
Colombia,Americas,aroma,7.75
Brazil,Americas,aroma,7.42
Brazil,Americas,aroma,7.25
Costa Rica,Americas,aroma,7.75
"Tanzania, United Republic Of",Africa,aroma,7.42
"Tanzania, United Republic Of",Africa,aroma,7.42
Colombia,Americas,aroma,7.5
Costa Rica,Americas,aroma,7.58
United States (Hawaii),North America,aroma,7.25
Mexico,North America,aroma,7.42
Mexico,North America,aroma,7.5
Mexico,North America,aroma,7.67
Vietnam,Asia,aroma,7.67
Mexico,North America,aroma,7.58
United States (Hawaii),North America,aroma,7.33
Colombia,Americas,aroma,7.67
Honduras,Americas,aroma,7.5
