species,country_of_origin,region,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,color
Arabica,Colombia,huila,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,Green
Arabica,Taiwan,natou county,2015,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11,Green
Arabica,"Tanzania, United Republic Of",mbeya,2014,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12,Green
Arabica,Colombia,huila,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,Green
Arabica,Brazil,south of minas,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,Green
Arabica,Brazil,south of minas,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,Green
Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",2016,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,0,Green
Arabica,Uganda,eastern,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12,Green
Arabica,Thailand,thailand,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,0.12,Green
Arabica,Kenya,nyeri,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13,Green
Arabica,Honduras,marcala,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11,Green
Arabica,El Salvador,apaneca,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0,Blue-Green
Arabica,Indonesia,"temanggung, indonesia",2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,Green
Arabica,Costa Rica,tarrazu,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,Blue-Green
Arabica,Guatemala,acatenango,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,Green
Arabica,Costa Rica,tarrazu,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12,Green
Arabica,Costa Rica,costa rica,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08,Green
Arabica,Costa Rica,west valley,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11,Green
Arabica,Taiwan,taichung xinshe 台中市新社區,2013/2014,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0.11,Green
Arabica,Colombia,santander,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0,Green
Arabica,Kenya,nyeri,2012,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11,Bluish-Green
Arabica,Guatemala,oriente,2012,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11,Green
Arabica,Guatemala,acatenango,2012,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12,Green
Arabica,Uganda,mbale,2012,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11,Blue-Green
Arabica,Colombia,santander,2016,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0,Blue-Green
Arabica,Colombia,huila,2016,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,0,Green
Arabica,Kenya,nyeri,2013,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,Bluish-Green
Arabica,Guatemala,jalapa,2014,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,Green
Arabica,Guatemala,oriente,2014,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,Green
Arabica,Colombia,huila,2012,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,Green
Arabica,Costa Rica,tres rios,2012,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,Bluish-Green
Arabica,Colombia,huila,2012,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,Green
Arabica,Brazil,vale da grama,2011,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,Green
Arabica,Brazil,mountains of minas gerais,2011,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,Blue-Green
Arabica,Costa Rica,valle central,2017 / 2018,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,Bluish-Green
Arabica,Uganda,eastern uganda,2016,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,Green
Arabica,China,yunnan,2015,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,Green
Arabica,Costa Rica,tarrazu,2014,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,Green
Arabica,Colombia,cauca,2015/2016,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,Green
Arabica,China,yunnan,2013,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,Green
Arabica,Guatemala,oriente,2013,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,Green
Arabica,Kenya,nyeri,2012,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,Blue-Green
Arabica,Mexico,hustusco,2012,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,Green
Arabica,Guatemala,"el tumbador, san marcos",2012,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11,Green
Arabica,Costa Rica,tarrazu,2016,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,Blue-Green
Arabica,Indonesia,sumatra brastagi,2017,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,Blue-Green
Arabica,Colombia,pitalito,2015/2016,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0,Green
Arabica,Colombia,huila,2014,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,Green
Arabica,Taiwan,"mountain ali, taiwan",2012,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11,Blue-Green
Arabica,United States (Hawaii),kona,2012,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,0.11,Blue-Green
Arabica,Kenya,nyeri,2017 / 2018,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,Green
Arabica,Honduras,comayagua,2016,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,0.1,Green
Arabica,Colombia,huila,2016,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0,Green
Arabica,Honduras,central region,2016,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,Green
Arabica,Colombia,huila,2015,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,Green
Arabica,Colombia,huila,2013,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,Green
Arabica,Mexico,tuxtla gutierrez,2012,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,Blue-Green
Arabica,Taiwan,國姓鄉 guoshing township,2016,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12,Blue-Green
Arabica,Thailand,chiang rai thailand,2015,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12,Green
Arabica,Colombia,nariño,2016,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11,Green
Arabica,Guatemala,antigua,2016,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11,Green
Arabica,Guatemala,huehuetenango,2015,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1,Green
Arabica,China,yunnan,2015,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1,Green
Arabica,Colombia,huila,2015,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11,Green
Arabica,Colombia,huila,2015,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12,Green
Arabica,Colombia,cauca,2015/2016,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12,Green
Arabica,Colombia,huila,2015,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12,Green
Arabica,"Tanzania, United Republic Of",shizingo village,2014,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,0.12,Green
Arabica,"Tanzania, United Republic Of",mbeya,2014,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,0.12,Green
Arabica,Guatemala,oriente,2014,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1,Green
Arabica,Colombia,cauca,2013,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11,Green
Arabica,United States (Hawaii),kona,2012,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,0.11,Bluish-Green
Arabica,Mexico,san pedro cotzilnam,2012,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12,Green
Arabica,Mexico,veracruz,2012,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,0.12,Green
Arabica,Mexico,"la concordia, chiapas",2012,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,0.1,Bluish-Green
Arabica,Uganda,kasese,2012,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,0.13,Green
Arabica,Guatemala,san marcos,2017,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,0.13,Green
Arabica,Colombia,huila,2016,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,0,Green
Arabica,Costa Rica,tarrazu,2016,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,0.09,Bluish-Green
Arabica,Guatemala,huehuetenango,2016,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,0.11,Green
Arabica,Guatemala,solola,2016,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,0.1,Green
Arabica,Guatemala,norte,2016,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,0.1,Green
Arabica,Colombia,huila,2015,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,0,Bluish-Green
Arabica,Nicaragua,jinotega,2015,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,0.12,Bluish-Green
Arabica,Costa Rica,tarrazu,2014,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,0,Blue-Green
Arabica,Ethiopia,snnprg; kafa; telo woreda; shada kebele,2014,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,0.1,Green
Arabica,"Tanzania, United Republic Of",arusha,2014,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,0.13,Green
Arabica,Colombia,huila,2014/2015,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,0.12,Green
Arabica,Kenya,kenya,2013,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,0.08,Green
Arabica,Brazil,"minas gerais, br",2012,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,0.11,Green
Arabica,Guatemala,oriente,2013,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,0.11,Green
Arabica,El Salvador,apaneca,2013,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0.11,Bluish-Green
Arabica,Colombia,huila,2012,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,0,Green
Arabica,Guatemala,guatemala,2012,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,0.11,Bluish-Green
Arabica,Uganda,mt. rwenzori,2012,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,0.11,Green
Arabica,Indonesia,aceh tengah,2017,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,0.12,Bluish-Green
Arabica,Colombia,huila,2017 / 2018,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,0,Green
Arabica,Taiwan,"nanxi dist., tainan city 臺南市楠西區",2016,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,0.1,Bluish-Green
Arabica,Guatemala,oriente,2016,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,0.1,Green
Arabica,Guatemala,"aldea xeucalvitz, ixil region, quiche department",2014,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,0.1,Bluish-Green
Arabica,United States (Hawaii),kona,2012,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,0.11,Green
Arabica,Mexico,santo domingo cacalotepec,2012,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,0.11,Green
Arabica,Ethiopia,sidamo,2017,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,0.11,Green
Arabica,Honduras,comayagua,2017,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,0.1,Green
Arabica,Guatemala,huehuetenango,2015,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,0.12,Green
Arabica,Colombia,huila,2014/2015,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,0.11,Green
Arabica,Guatemala,oriente,2014,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,0.1,Green
Arabica,Guatemala,oriente,2014,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,0.1,Green
Arabica,Colombia,huila,2014,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,0.12,Green
Arabica,Colombia,santander,2014,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,0.12,Green
Arabica,Colombia,huila,2014,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,0.12,Green
Arabica,Ethiopia,sidamo,2013,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0.09,Green
Arabica,Brazil,south of minas,2013/2014,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,0.1,Green
Arabica,Colombia,cauca,2013,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,0.11,Green
Arabica,Kenya,blend,2012,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,0,Green
Arabica,Thailand,thailand,2012,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12,Green
Arabica,Kenya,central kenya,2012,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,0,Bluish-Green
Arabica,Uganda,kasese,2012,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,0.1,Green
Arabica,Brazil,south of minas,2017 / 2018,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,0,Green
Arabica,Mexico,veracruz,2017,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,0.11,Green
Arabica,Thailand,chiangrai,2015,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,0.1,Bluish-Green
Arabica,Brazil,south of minas,2016,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,0.11,Green
Arabica,Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",2015,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,0.11,Green
Arabica,Colombia,huila,2016,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,0.11,Green
Arabica,Taiwan,台灣,2014,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,0,Blue-Green
Arabica,Colombia,huila,2014,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,0,None
Arabica,Colombia,huila,2014,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,0,Green
Arabica,Taiwan,台中和平區,2014,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,0.06,Green
Arabica,Colombia,santander,2014,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,0.12,Green
Arabica,Mexico,xicotepec de juarez,2012,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,0.12,Blue-Green
Arabica,Mexico,la yerbabuena,2012,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,0,Green
Arabica,Colombia,nariño,2017,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,0,Green
Arabica,Colombia,huila,2016,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,0,Green
Arabica,Costa Rica,tarrazu,2015,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,0,Blue-Green
Arabica,Guatemala,antigua,2016,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,0.11,Green
Arabica,Brazil,south of minas,2015/2016,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,0,Green
Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",2014,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,0,Green
Arabica,Ethiopia,oromia,2014,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,0.12,Green
Arabica,Brazil,south of minas,2014/2015,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,0,Green
Arabica,Costa Rica,central valley,2013,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,0.1,Green
Arabica,Guatemala,oriente,2014,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,0.1,Green
Arabica,Brazil,south of minas,2013/2014,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,0.1,Green
Arabica,Ecuador,"province of manabi, ecuador",2013,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,0.09,Bluish-Green
Arabica,Colombia,huila,2013,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,0.11,Green
Arabica,Guatemala,oriente,2013,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,0.11,Green
Arabica,Mexico,petatlan,2012,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,0.1,Green
Arabica,Brazil,carmo de minas,2011/2012,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,0.12,Green
Arabica,Brazil,south of minas,2017 / 2018,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,0.11,Green
Arabica,Colombia,huila,2017,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,0.11,Green
Arabica,Taiwan,"台南市東山區 (dongshan dist., tainan city)",2016,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,0,Green
Arabica,Colombia,huila,2016,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,0,Green
Arabica,China,yunnan,2015,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,0.1,Green
Arabica,Colombia,huila,2015/2016,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,0,Green
Arabica,Uganda,west nile,2013,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,0.12,Green
Arabica,United States (Puerto Rico),yauco region,2013,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,0.12,Green
Arabica,Colombia,huila,2014,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,0,Green
Arabica,Colombia,huila,2014,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,0,Green
Arabica,Colombia,huila,2013,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,0,Blue-Green
Arabica,Colombia,huila,2013,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,0.11,Green
Arabica,United States (Hawaii),kona,2013,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,0,Bluish-Green
Arabica,Mexico,"huazalingo, hidalgo",2012,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,0.13,None
Arabica,Guatemala,quetzaltenango,2012,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,0.11,Bluish-Green
Arabica,Brazil,south of minas,2017 / 2018,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,0.11,Green
Arabica,Kenya,meru county,2017,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,0.11,Bluish-Green
Arabica,Honduras,comayagua,2016,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,0.1,Green
Arabica,Nicaragua,jinotega,2016,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,0.1,Green
