country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,Continent
El Salvador,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,Americas
China,8,8,8,7.83,7.83,7.75,10,10,10,7.92,Asia
Guatemala,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,Americas
Costa Rica,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,Americas
Costa Rica,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,Americas
Kenya,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,Africa
Kenya,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,Africa
Ethiopia,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,Africa
Ethiopia,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,Africa
Guatemala,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,Americas
Colombia,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,Americas
Colombia,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,Americas
Indonesia,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,Asia
Guatemala,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,Americas
Ethiopia,7.75,8,7.58,8,8,7.92,10,10,10,7.83,Africa
Colombia,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,Americas
Ethiopia,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,Africa
United States (Hawaii),7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,North America
Colombia,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,Americas
United States (Hawaii),8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,North America
Ethiopia,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,Africa
United States (Hawaii),7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,North America
Uganda,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,Africa
Colombia,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,Americas
Costa Rica,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,Americas
Mexico,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,North America
Kenya,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,Africa
Kenya,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,Africa
Brazil,8,8,7.83,7.83,7.67,7.67,10,10,10,8,Americas
Mexico,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,North America
United States (Hawaii),7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,North America
Guatemala,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,Americas
Colombia,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,Americas
Colombia,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,Americas
Taiwan,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,Asia
"Tanzania, United Republic Of",8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,Africa
Colombia,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,Americas
Mexico,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,North America
Brazil,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,Americas
Brazil,8,8,7.75,8,7.5,7.75,10,10,10,7.92,Americas
Kenya,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,Africa
Taiwan,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,Asia
Uganda,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,Africa
United States (Hawaii),7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,North America
Ethiopia,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,Africa
Ethiopia,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,Africa
Thailand,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,Asia
Kenya,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,Africa
Honduras,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,Americas
El Salvador,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,Americas
Nicaragua,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,Americas
El Salvador,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,Americas
Indonesia,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,Asia
Japan,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,Asia
Costa Rica,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,Americas
Guatemala,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,Americas
Costa Rica,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,Americas
Ethiopia,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,Africa
Costa Rica,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,Americas
Costa Rica,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,Americas
Costa Rica,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,Americas
Taiwan,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,Asia
Colombia,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,Americas
Kenya,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,Africa
Guatemala,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,Americas
Guatemala,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,Americas
Mexico,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,North America
Uganda,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,Africa
Peru,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,Americas
Ethiopia,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,Africa
Kenya,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,Africa
Colombia,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,Americas
Colombia,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,Americas
Kenya,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,Africa
Guatemala,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,Americas
Guatemala,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,Americas
Colombia,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,Americas
Colombia,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,Americas
Kenya,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,Africa
Colombia,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,Americas
Costa Rica,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,Americas
Colombia,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,Americas
Brazil,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,Americas
Brazil,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,Americas
Costa Rica,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,Americas
Uganda,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,Africa
China,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,Asia
Costa Rica,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,Americas
Colombia,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,Americas
China,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,Asia
Guatemala,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,Americas
Kenya,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,Africa
Mexico,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,North America
Mexico,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,North America
Guatemala,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,Americas
Brazil,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,Americas
Brazil,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,Americas
Costa Rica,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,Americas
Indonesia,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,Asia
Colombia,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,Americas
Colombia,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,Americas
Taiwan,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,Asia
United States (Hawaii),7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,North America
Mexico,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,North America
Ethiopia,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,Africa
Kenya,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,Africa
Honduras,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,Americas
Colombia,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,Americas
Honduras,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,Americas
Colombia,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,Americas
Colombia,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,Americas
Colombia,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,Americas
Mexico,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,North America
Brazil,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,Americas
Brazil,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,Americas
Ethiopia,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,Africa
Guatemala,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,Americas
Taiwan,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,Asia
Thailand,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,Asia
Colombia,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,Americas
Guatemala,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,Americas
Guatemala,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,Americas
China,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,Asia
Colombia,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,Americas
Colombia,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,Americas
Colombia,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,Americas
Colombia,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,Americas
"Tanzania, United Republic Of",7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,Africa
"Tanzania, United Republic Of",7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,Africa
Guatemala,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,Americas
Colombia,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,Americas
United States (Hawaii),7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,North America
Mexico,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,North America
Mexico,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,North America
Mexico,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,North America
Uganda,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,Africa
Guatemala,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,Americas
Colombia,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,Americas
Costa Rica,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,Americas
Guatemala,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,Americas
Guatemala,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,Americas
Guatemala,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,Americas
Colombia,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,Americas
Nicaragua,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,Americas
Brazil,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,Americas
Costa Rica,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,Americas
Ethiopia,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,Africa
"Tanzania, United Republic Of",7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,Africa
Colombia,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,Americas
Guatemala,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,Americas
Kenya,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,Africa
Brazil,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,Americas
Guatemala,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,Americas
El Salvador,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,Americas
Colombia,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,Americas
Guatemala,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,Americas
Uganda,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,Africa
Indonesia,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,Asia
Colombia,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,Americas
Taiwan,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,Asia
Guatemala,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,Americas
Colombia,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,Americas
Guatemala,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,Americas
United States (Hawaii),7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,North America
Mexico,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,North America
Ethiopia,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,Africa
Costa Rica,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,Americas
Ethiopia,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,Africa
Honduras,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,Americas
Guatemala,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,Americas
Colombia,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,Americas
Guatemala,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,Americas
Guatemala,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,Americas
Colombia,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,Americas
Colombia,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,Americas
Colombia,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,Americas
Ethiopia,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,Africa
Brazil,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,Americas
Colombia,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,Americas
Kenya,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,Africa
Thailand,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,Asia
Kenya,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,Africa
Uganda,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,Africa
Thailand,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,Asia
Brazil,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,Americas
Mexico,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,North America
Thailand,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,Asia
Brazil,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,Americas
Taiwan,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,Asia
Colombia,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,Americas
Colombia,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,Americas
Taiwan,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,Asia
Colombia,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,Americas
Colombia,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,Americas
Colombia,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,Americas
Taiwan,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,Asia
Colombia,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,Americas
Mexico,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,North America
Mexico,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,North America
Mexico,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,North America
Colombia,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,Americas
Colombia,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,Americas
Costa Rica,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,Americas
Guatemala,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,Americas
Taiwan,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,Asia
Brazil,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,Americas
Taiwan,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,Asia
Ethiopia,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,Africa
Brazil,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,Americas
Costa Rica,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,Americas
Guatemala,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,Americas
Brazil,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,Americas
Ecuador,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,Americas
Colombia,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,Americas
Guatemala,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,Americas
Mexico,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,North America
Mexico,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,North America
Brazil,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,Americas
Thailand,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,Asia
Thailand,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,Asia
Ethiopia,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,Africa
Kenya,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,Africa
Brazil,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,Americas
Colombia,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,Americas
Taiwan,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,Asia
Colombia,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,Americas
China,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,Asia
Colombia,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,Americas
Uganda,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,Africa
United States (Puerto Rico),7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,North America
Colombia,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,Americas
Colombia,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,Americas
Colombia,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,Americas
Colombia,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,Americas
United States (Hawaii),7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,North America
Mexico,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,North America
Guatemala,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,Americas
Colombia,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,Americas
Colombia,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,Americas
United States (Hawaii),7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,North America
Brazil,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,Americas
Kenya,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,Africa
Honduras,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,Americas
Nicaragua,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,Americas
Brazil,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,Americas
Taiwan,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,Asia
Costa Rica,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,Americas
Thailand,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,Asia
Colombia,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,Americas
Guatemala,8,7.5,7.33,8,8,8,9.33,10,10,7.5,Americas
Colombia,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,Americas
Colombia,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,Americas
Guatemala,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,Americas
